label,image,gender,race
1.11764705882353,kuma-kum-GKbPbR0ZAT4-unsplash.jpg,female,caucasian
1.0,pexels-cottonbro-5529905.jpg,male,asian
1.5,pexels-himesh-mehta-3059930.jpg,female,indian
1.88888888888889,pexels-kaniseeyapose-2751061.jpg,male,asian
2.0,imad-clicks-2_qmEnz7bQ4-unsplash.jpg,female,mideastern
1.625,man-5917529_1920.jpg,male,caucasian
2.22222222222222,pexels-nandhu-kumar-2703082.jpg,female,indian
2.44444444444444,raphiell-alfaridzy-jagYILIMvxw-unsplash.jpg,male,asian
2.33333333333333,elderly-1557141_1920.jpg,female,caucasian
2.0,pexels-chevanon-photography-2421934.jpg,male,asian
2.0,gabe-pierce-cZ_RjozBNPM-unsplash.jpg,male,caucasian
2.66666666666667,pexels-himesh-mehta-2880285.jpg,male,mideastern
2.15384615384615,thoughtful-583373_1920.jpg,female,caucasian
2.92391304347826,chander-mohan-9zaQ3PjrvxA-unsplash.jpg,male,asian
2.67391304347826,kamil-mehmood-E_9onZVXwcQ-unsplash.jpg,male,mideastern
2.91,lumensoft-technologies-JGGaefIIc6Y-unsplash.jpg,male,mideastern
2.79333333333333,simon-marsault-jUyP2PcuBls-unsplash.jpg,female,asian
3.03571428571429,yannes-kiefer-VZfSq4TQTHY-unsplash.jpg,female,asian
2.88888888888889,pexels-blac-bear-3805873.jpg,male,black
2.71138211382114,sadhu-1166066_1920.jpg,male,mideastern
2.0,robert-harkness-MB_5XK9E7vM-unsplash.jpg,male,caucasian
3.0,pexels-zaetaflow-sec-3205230.jpg,male,hispanic
3.0,filipp-romanovskij-H4q-AEA02rY-unsplash.jpg,male,black
3.25170068027211,katie-moum-yXfdoI66AtQ-unsplash.jpg,male,mideastern
2.92,filipe-almeida-mnEWC72eWDM-unsplash.jpg,male,asian
3.30729166666667,ashwini-chaudhary-fvm4bFVK7qM-unsplash.jpg,male,mideastern
3.47959183673469,luca-anasta-JMNXb6KBJwI-unsplash.jpg,male,mideastern
3.47826086956522,man-4220914_1920.jpg,male,caucasian
3.0,anelale-najera--p_HZ1et98U-unsplash.jpg,female,indian
2.88461538461538,march-for-peace-1727917_1920.jpg,female,black
2.99,philippe-leone-ffrGEGb4Y58-unsplash.jpg,female,asian
3.0,girl-1763686_1920.jpg,female,caucasian
3.03448275862069,granny-1280445_1920.jpg,female,caucasian
3.09259259259259,indian-woman-5092871_1920.jpg,female,indian
3.11111111111111,pexels-italo-melo-1786258.jpg,female,mideastern
3.11111111111111,pexels-lola-russian-1855582.jpg,female,hispanic
2.9875,man-984217_1920.jpg,male,black
2.81481481481481,ursula-spaulding-_B_UiKIAo20-unsplash.jpg,female,indian
2.94736842105263,sudanese-2895751_1920.jpg,male,black
3.268,jd-mason-13_7xGYBb7c-unsplash.jpg,male,caucasian
